Path,Filename,StartSecond,EndSecond,MainClassification,ConfidenceScore,ConfidenceVector
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-43-19_48kHz.wav,channelA_2024-05-27_21-43-19_48kHz.wav,288,291,Whistle,0.56402147,"[0.435978502035141, 0.5640214681625366]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,0,3,Whistle,0.9783564,"[0.02164352871477604, 0.9783564209938049]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,24,27,Whistle,0.559729,"[0.4402709901332855, 0.5597289800643921]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,42,45,Whistle,0.99931884,"[0.0006812208448536694, 0.9993188381195068]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,48,51,Whistle,0.90074444,"[0.09925549477338791, 0.9007444381713867]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,51,54,Whistle,0.811521,"[0.18847902119159698, 0.8115209937095642]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,72,75,Whistle,0.99994993,"[5.009893357055262e-05, 0.9999499320983887]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,81,84,Whistle,0.9999932,"[6.8441863732005e-06, 0.9999932050704956]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,84,87,Whistle,0.9907212,"[0.009278811514377594, 0.9907212257385254]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,87,90,Whistle,0.56910855,"[0.43089136481285095, 0.5691085457801819]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,90,93,Whistle,0.9386188,"[0.06138114631175995, 0.9386187791824341]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,105,108,Whistle,0.9093441,"[0.09065590798854828, 0.9093440771102905]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,108,111,Whistle,0.9758607,"[0.024139277637004852, 0.9758607149124146]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,111,114,Whistle,0.99999046,"[9.527184374746867e-06, 0.9999904632568359]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,114,117,Whistle,0.99992716,"[7.280856516445056e-05, 0.9999271631240845]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,120,123,Whistle,0.53930587,"[0.4606941044330597, 0.5393058657646179]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,126,129,Whistle,0.99993515,"[6.48788918624632e-05, 0.9999351501464844]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,132,135,Whistle,0.84296435,"[0.15703566372394562, 0.8429643511772156]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,135,138,Whistle,0.97949535,"[0.02050456590950489, 0.9794953465461731]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,141,144,Whistle,0.9913436,"[0.008656387217342854, 0.99134361743927]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,144,147,Whistle,0.99997973,"[2.0249261069693603e-05, 0.9999797344207764]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,147,150,Whistle,0.9999956,"[4.44839906776906e-06, 0.9999955892562866]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,150,153,Whistle,0.99998415,"[1.5894334865151905e-05, 0.9999841451644897]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,153,156,Whistle,0.9999974,"[2.662151473487029e-06, 0.9999973773956299]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,156,159,Whistle,0.9999881,"[1.190432067232905e-05, 0.9999880790710449]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,162,165,Whistle,0.5763105,"[0.42368945479393005, 0.5763105154037476]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,165,168,Whistle,0.8453367,"[0.1546632945537567, 0.8453366756439209]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,168,171,Whistle,0.9992353,"[0.0007646821322850883, 0.9992352724075317]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,174,177,Whistle,0.9177319,"[0.08226814866065979, 0.9177318811416626]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,177,180,Whistle,0.9922162,"[0.007783738896250725, 0.9922162294387817]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,180,183,Whistle,0.9973763,"[0.0026236975099891424, 0.9973763227462769]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,183,186,Whistle,0.99855787,"[0.001442184206098318, 0.9985578656196594]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,186,189,Whistle,0.9990594,"[0.0009406888857483864, 0.9990593791007996]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,189,192,Whistle,0.9998406,"[0.00015941685705911368, 0.9998406171798706]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,192,195,Whistle,0.8521345,"[0.14786551892757416, 0.8521345257759094]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,198,201,Whistle,0.9583951,"[0.041604895144701004, 0.9583951234817505]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,219,222,Whistle,0.96751493,"[0.03248506784439087, 0.9675149321556091]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,222,225,Whistle,0.897157,"[0.10284304618835449, 0.8971570134162903]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,249,252,Whistle,0.9996284,"[0.00037151097785681486, 0.9996284246444702]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-21-47_48kHz.wav,channelA_2024-05-28_01-21-47_48kHz.wav,249,252,Whistle,0.5609731,"[0.4390268325805664, 0.5609731078147888]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-21-47_48kHz.wav,channelA_2024-05-28_01-21-47_48kHz.wav,273,276,Whistle,0.90019727,"[0.09980273246765137, 0.9001972675323486]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-21-47_48kHz.wav,channelA_2024-05-28_01-21-47_48kHz.wav,276,279,Whistle,0.74121714,"[0.2587828040122986, 0.7412171363830566]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,6,9,Whistle,0.94204456,"[0.05795550346374512, 0.9420445561408997]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,9,12,Whistle,0.99999976,"[2.0985370952075755e-07, 0.9999997615814209]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,15,18,Whistle,0.9940957,"[0.005904331803321838, 0.9940956830978394]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,21,24,Whistle,0.7623898,"[0.23761028051376343, 0.7623897790908813]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,24,27,Whistle,0.998995,"[0.0010049485135823488, 0.9989950060844421]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,27,30,Whistle,0.9930577,"[0.006942312698811293, 0.9930577278137207]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,30,33,Whistle,0.7066848,"[0.29331523180007935, 0.7066848278045654]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,33,36,Whistle,0.60626155,"[0.3937384784221649, 0.6062615513801575]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,36,39,Whistle,0.9905652,"[0.009434868581593037, 0.9905651807785034]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,39,42,Whistle,0.6384482,"[0.36155179142951965, 0.638448178768158]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,57,60,Whistle,0.99839455,"[0.001605440629646182, 0.9983945488929749]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,60,63,Whistle,0.9999989,"[1.0876301530515775e-06, 0.999998927116394]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,63,66,Whistle,0.9994105,"[0.0005895273061469197, 0.9994105100631714]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,66,69,Whistle,0.97168463,"[0.028315352275967598, 0.9716846346855164]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,72,75,Whistle,0.9670116,"[0.03298845514655113, 0.967011570930481]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,75,78,Whistle,0.85844046,"[0.14155951142311096, 0.8584404587745667]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-31-47_48kHz.wav,channelA_2024-05-28_01-31-47_48kHz.wav,18,21,Whistle,0.6047298,"[0.39527028799057007, 0.6047297716140747]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-31-47_48kHz.wav,channelA_2024-05-28_01-31-47_48kHz.wav,21,24,Whistle,0.9999999,"[6.61285071146267e-08, 0.9999998807907104]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-31-47_48kHz.wav,channelA_2024-05-28_01-31-47_48kHz.wav,24,27,Whistle,1.0,"[2.462276960102372e-08, 1.0]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-31-47_48kHz.wav,channelA_2024-05-28_01-31-47_48kHz.wav,27,30,Whistle,1.0,"[1.5598049074583287e-08, 1.0]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-31-47_48kHz.wav,channelA_2024-05-28_01-31-47_48kHz.wav,30,33,Whistle,0.9999976,"[2.3951865841809195e-06, 0.999997615814209]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-31-47_48kHz.wav,channelA_2024-05-28_01-31-47_48kHz.wav,36,39,Whistle,0.9999999,"[1.219909222527349e-07, 0.9999998807907104]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_08-43-47_48kHz.wav,channelA_2024-05-28_08-43-47_48kHz.wav,282,285,Whistle,0.5510314,"[0.4489686191082001, 0.5510314106941223]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_09-56-11_48kHz.wav,channelA_2024-05-28_09-56-11_48kHz.wav,75,78,Whistle,0.7075414,"[0.29245859384536743, 0.7075414061546326]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_15-23-56_48kHz.wav,channelA_2024-05-28_15-23-56_48kHz.wav,102,105,Whistle,0.63782287,"[0.3621771037578583, 0.6378228664398193]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_16-39-28_48kHz.wav,channelA_2024-05-28_16-39-28_48kHz.wav,45,48,Whistle,0.74959034,"[0.25040963292121887, 0.7495903372764587]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_17-45-01_48kHz.wav,channelA_2024-05-28_17-45-01_48kHz.wav,75,78,Whistle,0.62672895,"[0.37327107787132263, 0.6267289519309998]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_17-45-01_48kHz.wav,channelA_2024-05-28_17-45-01_48kHz.wav,126,129,Whistle,0.5712303,"[0.4287697374820709, 0.5712302923202515]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_17-56-52_48kHz.wav,channelA_2024-05-28_17-56-52_48kHz.wav,243,246,Whistle,0.530373,"[0.4696269631385803, 0.5303729772567749]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_17-56-52_48kHz.wav,channelA_2024-05-28_17-56-52_48kHz.wav,261,264,Whistle,0.748642,"[0.25135794281959534, 0.7486420273780823]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_17-56-52_48kHz.wav,channelA_2024-05-28_17-56-52_48kHz.wav,270,273,Whistle,0.63740826,"[0.36259177327156067, 0.6374082565307617]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_17-56-52_48kHz.wav,channelA_2024-05-28_17-56-52_48kHz.wav,276,279,Whistle,0.7069852,"[0.2930148243904114, 0.7069851756095886]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-29_08-30-51_48kHz.wav,channelA_2024-05-29_08-30-51_48kHz.wav,201,204,Whistle,0.6053132,"[0.3946867883205414, 0.6053131818771362]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-29_17-58-57_48kHz.wav,channelA_2024-05-29_17-58-57_48kHz.wav,237,240,Whistle,0.78518814,"[0.2148118019104004, 0.7851881384849548]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-29_17-58-57_48kHz.wav,channelA_2024-05-29_17-58-57_48kHz.wav,246,249,Whistle,0.73570895,"[0.26429104804992676, 0.7357089519500732]"
